Delphes classes imported
--------------------------------------> Going to analyze 500000 events!!!!!!!!!!!
Number of events that passed full selection: 73255 +- 270.656609009
Weighted number of events that passed full selection: 120.548428 +- 0.445392515784
Bin range, Value
500.0-525.0, 20.8481063843
525.0-550.0, 16.5794200897
550.0-575.0, 13.5449333191
575.0-600.0, 10.7967815399
600.0-625.0, 8.74636363983
625.0-650.0, 7.40190887451
650.0-675.0, 6.27302742004
675.0-700.0, 5.13427209854
700.0-725.0, 4.18969774246
725.0-750.0, 3.66968798637
750.0-775.0, 3.01309370995
775.0-800.0, 2.5918200016
800.0-825.0, 2.19687604904
825.0-850.0, 1.93028879166
850.0-875.0, 1.56990242004
875.0-900.0, 1.48433125019
900.0-925.0, 1.2128071785
925.0-950.0, 1.11078000069
950.0-975.0, 0.901788771152
975.0-1000.0, 0.814571976662
1000.0-1025.0, 0.694443225861
1025.0-1050.0, 0.636847198009
1050.0-1075.0, 0.552921593189
1075.0-1100.0, 0.447603195906
1100.0-1125.0, 0.394944012165
1125.0-1150.0, 0.383424788713
1150.0-1175.0, 0.338993608952
1175.0-1200.0, 0.296207994223
1200.0-1225.0, 0.292916804552
1225.0-1250.0, 0.235320806503
1250.0-1275.0, 0.227092802525
1275.0-1300.0, 0.187598407269
1300.0-1325.0, 0.154686406255
1325.0-1350.0, 0.166205599904
1350.0-1375.0, 0.157977595925
1375.0-1400.0, 0.143167197704
1400.0-1425.0, 0.0888623967767
1425.0-1450.0, 0.0970904007554
1450.0-1475.0, 0.0806344002485
1475.0-1500.0, 0.0822800025344
1500.0-1525.0, 0.0789887979627
1525.0-1550.0, 0.0625327974558
1550.0-1575.0, 0.0641783997416
1575.0-1600.0, 0.0526591986418
1600.0-1625.0, 0.0526591986418
1625.0-1650.0, 0.0477223992348
1650.0-1675.0, 0.0460768006742
1675.0-1700.0, 0.0296208001673
1700.0-1725.0, 0.0246840007603
1725.0-1750.0, 0.0296208001673
1750.0-1775.0, 0.0312663987279
1775.0-1800.0, 0.0246840007603
1800.0-1825.0, 0.0279751997441
1825.0-1850.0, 0.0329120010138
1850.0-1875.0, 0.0181016009301
1875.0-1900.0, 0.0115192001686
1900.0-1925.0, 0.0213927999139
1925.0-1950.0, 0.0164560005069
1950.0-1975.0, 0.0181016009301
1975.0-2000.0, 0.00658239983022
2000.0-2025.0, 0.00329119991511
2025.0-2050.0, 0.0164560005069
2050.0-2075.0, 0.0148104000837
2075.0-2100.0, 0.0148104000837
2100.0-2125.0, 0.00822800025344
2125.0-2150.0, 0.00658239983022
2150.0-2175.0, 0.0115192001686
2175.0-2200.0, 0.00164559995756
2200.0-2225.0, 0.00987359974533
2225.0-2250.0, 0.00329119991511
2250.0-2275.0, 0.00493679987267
2275.0-2300.0, 0.00329119991511
2300.0-2325.0, 0.0131647996604
2325.0-2350.0, 0.00493679987267
2350.0-2375.0, 0.00329119991511
2375.0-2400.0, 0.00493679987267
2400.0-2425.0, 0.00329119991511
2425.0-2450.0, 0.00329119991511
2450.0-2475.0, 0.00329119991511
2475.0-2500.0, 0.00164559995756
2500.0-2525.0, 0.00493679987267
2525.0-2550.0, 0.00822800025344
2550.0-2575.0, 0.0
2575.0-2600.0, 0.00329119991511
2600.0-2625.0, 0.0
2625.0-2650.0, 0.00329119991511
2650.0-2675.0, 0.00164559995756
2675.0-2700.0, 0.00493679987267
2700.0-2725.0, 0.0
2725.0-2750.0, 0.0
2750.0-2775.0, 0.0
2775.0-2800.0, 0.0
2800.0-2825.0, 0.00164559995756
2825.0-2850.0, 0.0
2850.0-2875.0, 0.0
2875.0-2900.0, 0.00329119991511
2900.0-2925.0, 0.00164559995756
2925.0-2950.0, 0.0
2950.0-2975.0, 0.0
2975.0-3000.0, 0.0
