Delphes classes imported
--------------------------------------> Going to analyze 200000 events!!!!!!!!!!!
Number of events that passed full selection: 86831 +- 294.671002985
Weighted number of events that passed full selection: 3849.21823 +- 13.0627655623
Bin range, Value
500.0-525.0, 143.008575439
525.0-550.0, 135.117843628
550.0-575.0, 129.75390625
575.0-600.0, 120.444610596
600.0-625.0, 112.465209961
625.0-650.0, 111.800262451
650.0-675.0, 108.963142395
675.0-700.0, 102.490959167
700.0-725.0, 100.274459839
725.0-750.0, 96.2404327393
750.0-775.0, 91.9847488403
775.0-800.0, 84.4486465454
800.0-825.0, 86.8868026733
825.0-850.0, 80.5032806396
850.0-875.0, 76.1146087646
875.0-900.0, 75.1393508911
900.0-925.0, 73.7207870483
925.0-950.0, 70.5290298462
950.0-975.0, 68.0022201538
975.0-1000.0, 66.7166519165
1000.0-1025.0, 62.5939598083
1025.0-1050.0, 63.3918991089
1050.0-1075.0, 58.382610321
1075.0-1100.0, 55.501159668
1100.0-1125.0, 54.7475509644
1125.0-1150.0, 52.8856887817
1150.0-1175.0, 53.3289909363
1175.0-1200.0, 51.1568183899
1200.0-1225.0, 46.4135093689
1225.0-1250.0, 47.2557792664
1250.0-1275.0, 44.0196914673
1275.0-1300.0, 45.7485618591
1300.0-1325.0, 42.3794784546
1325.0-1350.0, 41.8475189209
1350.0-1375.0, 39.0990600586
1375.0-1400.0, 36.2619400024
1400.0-1425.0, 36.5279197693
1425.0-1450.0, 34.3114204407
1450.0-1475.0, 36.0402908325
1475.0-1500.0, 33.5578117371
1500.0-1525.0, 32.493888855
1525.0-1550.0, 30.1443996429
1550.0-1575.0, 31.4743003845
1575.0-1600.0, 29.922750473
1600.0-1625.0, 28.3712005615
1625.0-1650.0, 26.996969223
1650.0-1675.0, 27.8392391205
1675.0-1700.0, 25.356760025
1700.0-1725.0, 25.4010906219
1725.0-1750.0, 24.6031494141
1750.0-1775.0, 24.8248004913
1775.0-1800.0, 22.1206703186
1800.0-1825.0, 21.4557209015
1825.0-1850.0, 21.0567493439
1850.0-1875.0, 19.2392196655
1875.0-1900.0, 19.5495300293
1900.0-1925.0, 18.3969497681
1925.0-1950.0, 19.5938606262
1950.0-1975.0, 17.4216899872
1975.0-2000.0, 17.8649902344
2000.0-2025.0, 16.7124099731
2025.0-2050.0, 15.0721998215
2050.0-2075.0, 15.2051897049
2075.0-2100.0, 15.7371501923
2100.0-2125.0, 15.4268398285
2125.0-2150.0, 13.7423000336
2150.0-2175.0, 13.52064991
2175.0-2200.0, 11.9690999985
2200.0-2225.0, 13.6536397934
2225.0-2250.0, 12.8113698959
2250.0-2275.0, 11.7917804718
2275.0-2300.0, 12.1907501221
2300.0-2325.0, 11.1711597443
2325.0-2350.0, 10.9938402176
2350.0-2375.0, 10.772190094
2375.0-2400.0, 9.92992019653
2400.0-2425.0, 9.97424983978
2425.0-2450.0, 9.17630958557
2450.0-2475.0, 8.37837028503
2475.0-2500.0, 8.20104980469
2500.0-2525.0, 9.26496982574
2525.0-2550.0, 8.55568981171
2550.0-2575.0, 7.62476015091
2575.0-2600.0, 7.18145990372
2600.0-2625.0, 6.87115001678
2625.0-2650.0, 6.64949989319
2650.0-2675.0, 5.98454999924
2675.0-2700.0, 6.33919000626
2700.0-2725.0, 5.98454999924
2725.0-2750.0, 6.02888011932
2750.0-2775.0, 6.07320976257
2775.0-2800.0, 6.29485988617
2800.0-2825.0, 5.71857023239
2825.0-2850.0, 5.54125022888
2850.0-2875.0, 5.00929021835
2875.0-2900.0, 5.14228010178
2900.0-2925.0, 5.54125022888
2925.0-2950.0, 5.58557987213
2950.0-2975.0, 5.09794998169
2975.0-3000.0, 4.56598997116
