Delphes classes imported
--------------------------------------> Going to analyze 500000 events!!!!!!!!!!!
Number of events that passed full selection: 191896 +- 438.059356709
Weighted number of events that passed full selection: 14700.001184 +- 33.5570989613
Bin range, Value
500.0-525.0, 589.62097168
525.0-550.0, 576.138671875
550.0-575.0, 562.809570312
575.0-600.0, 530.712524414
600.0-625.0, 513.246826172
625.0-650.0, 482.45199585
650.0-675.0, 464.450042725
675.0-700.0, 440.626220703
700.0-725.0, 431.663543701
725.0-750.0, 398.264190674
750.0-775.0, 394.663818359
775.0-800.0, 383.173217773
800.0-825.0, 353.374237061
825.0-850.0, 339.585540771
850.0-875.0, 337.134216309
875.0-900.0, 322.962463379
900.0-925.0, 303.811462402
925.0-950.0, 299.751464844
950.0-975.0, 284.583862305
975.0-1000.0, 266.122283936
1000.0-1025.0, 252.946411133
1025.0-1050.0, 238.927871704
1050.0-1075.0, 244.749786377
1075.0-1100.0, 223.607070923
1100.0-1125.0, 212.193084717
1125.0-1150.0, 207.826644897
1150.0-1175.0, 201.928146362
1175.0-1200.0, 186.990356445
1200.0-1225.0, 180.325820923
1225.0-1250.0, 179.789581299
1250.0-1275.0, 174.810333252
1275.0-1300.0, 165.694458008
1300.0-1325.0, 158.800094604
1325.0-1350.0, 152.97819519
1350.0-1375.0, 145.24118042
1375.0-1400.0, 140.032104492
1400.0-1425.0, 135.359268188
1425.0-1450.0, 120.34488678
1450.0-1475.0, 124.941123962
1475.0-1500.0, 120.191673279
1500.0-1525.0, 111.918441772
1525.0-1550.0, 110.309761047
1550.0-1575.0, 105.790122986
1575.0-1600.0, 98.6659545898
1600.0-1625.0, 91.7715911865
1625.0-1650.0, 90.0863037109
1650.0-1675.0, 93.9165039062
1675.0-1700.0, 83.9579849243
1700.0-1725.0, 80.8172225952
1725.0-1750.0, 82.808921814
1750.0-1775.0, 73.4632339478
1775.0-1800.0, 76.3741912842
1800.0-1825.0, 69.7096405029
1825.0-1850.0, 69.4798278809
1850.0-1875.0, 63.5047149658
1875.0-1900.0, 67.028503418
1900.0-1925.0, 58.8318710327
1925.0-1950.0, 54.7718582153
1950.0-1975.0, 54.2356338501
1975.0-2000.0, 52.0907211304
2000.0-2025.0, 51.7843055725
2025.0-2050.0, 46.9582519531
2050.0-2075.0, 47.8774986267
2075.0-2100.0, 46.498626709
2100.0-2125.0, 44.6601333618
2125.0-2150.0, 39.2212486267
2150.0-2175.0, 38.3786048889
2175.0-2200.0, 39.6042671204
2200.0-2225.0, 37.076335907
2225.0-2250.0, 34.8548202515
2250.0-2275.0, 33.7823638916
2275.0-2300.0, 33.4759483337
2300.0-2325.0, 29.2627277374
2325.0-2350.0, 28.5732917786
2350.0-2375.0, 28.5732917786
2375.0-2400.0, 24.8196964264
2400.0-2425.0, 24.8962993622
2425.0-2450.0, 26.1985683441
2450.0-2475.0, 22.8279914856
2475.0-2500.0, 26.1985683441
2500.0-2525.0, 22.0619525909
2525.0-2550.0, 22.1385555267
2550.0-2575.0, 22.2151603699
2575.0-2600.0, 19.6106243134
2600.0-2625.0, 20.9128913879
2625.0-2650.0, 17.1592960358
2650.0-2675.0, 20.8362884521
2675.0-2700.0, 16.9294834137
2700.0-2725.0, 15.2441959381
2725.0-2750.0, 13.5589084625
2750.0-2775.0, 14.4781560898
2775.0-2800.0, 14.8611755371
2800.0-2825.0, 11.1841840744
2825.0-2850.0, 13.5589084625
2850.0-2875.0, 12.4098482132
2875.0-2900.0, 13.635512352
2900.0-2925.0, 13.4056997299
2925.0-2950.0, 13.0226802826
2950.0-2975.0, 11.7204122543
2975.0-3000.0, 9.26908397675
