Delphes classes imported
--------------------------------------> Going to analyze 200000 events!!!!!!!!!!!
Number of events that passed full selection: 82079 +- 286.494328042
Weighted number of events that passed full selection: 21100.04853 +- 73.6490969097
Bin range, Value
500.0-525.0, 895.374816895
525.0-550.0, 819.282104492
550.0-575.0, 782.778137207
575.0-600.0, 735.220214844
600.0-625.0, 702.57232666
625.0-650.0, 677.893615723
650.0-675.0, 628.536132812
675.0-700.0, 597.173583984
700.0-725.0, 591.518066406
725.0-750.0, 559.127258301
750.0-775.0, 537.019226074
775.0-800.0, 494.345611572
800.0-825.0, 471.980529785
825.0-850.0, 473.522949219
850.0-875.0, 442.160400391
875.0-900.0, 431.106384277
900.0-925.0, 427.507415771
925.0-950.0, 383.034301758
950.0-975.0, 380.720672607
975.0-1000.0, 353.98538208
1000.0-1025.0, 356.813171387
1025.0-1050.0, 330.849090576
1050.0-1075.0, 323.651123047
1075.0-1100.0, 307.198638916
1100.0-1125.0, 298.458282471
1125.0-1150.0, 284.833557129
1150.0-1175.0, 268.638153076
1175.0-1200.0, 260.66897583
1200.0-1225.0, 267.352813721
1225.0-1250.0, 239.589233398
1250.0-1275.0, 237.532684326
1275.0-1300.0, 229.049377441
1300.0-1325.0, 221.080200195
1325.0-1350.0, 209.769119263
1350.0-1375.0, 201.028747559
1375.0-1400.0, 191.517150879
1400.0-1425.0, 187.146957397
1425.0-1450.0, 196.915618896
1450.0-1475.0, 180.206069946
1475.0-1500.0, 163.496520996
1500.0-1525.0, 164.267730713
1525.0-1550.0, 163.239456177
1550.0-1575.0, 153.2137146
1575.0-1600.0, 154.499069214
1600.0-1625.0, 138.303665161
1625.0-1650.0, 142.159713745
1650.0-1675.0, 130.848632812
1675.0-1700.0, 129.049133301
1700.0-1725.0, 119.794616699
1725.0-1750.0, 114.910293579
1750.0-1775.0, 111.825447083
1775.0-1800.0, 106.684051514
1800.0-1825.0, 103.599212646
1825.0-1850.0, 106.941116333
1850.0-1875.0, 98.9719467163
1875.0-1900.0, 91.7739868164
1900.0-1925.0, 98.2007369995
1925.0-1950.0, 85.8613815308
1950.0-1975.0, 84.0618896484
1975.0-2000.0, 90.7457122803
2000.0-2025.0, 85.604309082
2025.0-2050.0, 80.4629135132
2050.0-2075.0, 67.3523406982
2075.0-2100.0, 84.5760269165
2100.0-2125.0, 72.2366714478
2125.0-2150.0, 62.4680099487
2150.0-2175.0, 79.4346313477
2175.0-2200.0, 70.1801071167
2200.0-2225.0, 56.5554008484
2225.0-2250.0, 58.354888916
2250.0-2275.0, 56.8124694824
2275.0-2300.0, 56.8124694824
2300.0-2325.0, 50.8998603821
2325.0-2350.0, 54.7559089661
2350.0-2375.0, 46.5296707153
2375.0-2400.0, 53.9846992493
2400.0-2425.0, 48.8432998657
2425.0-2450.0, 48.5862312317
2450.0-2475.0, 39.8458518982
2475.0-2500.0, 45.2443199158
2500.0-2525.0, 41.3882713318
2525.0-2550.0, 33.9332389832
2550.0-2575.0, 41.9024085999
2575.0-2600.0, 36.2468681335
2600.0-2625.0, 35.4756584167
2625.0-2650.0, 41.3882713318
2650.0-2675.0, 30.0771903992
2675.0-2700.0, 33.1620292664
2700.0-2725.0, 30.5913295746
2725.0-2750.0, 29.8201198578
2750.0-2775.0, 31.1054706573
2775.0-2800.0, 29.3059806824
2800.0-2825.0, 24.1645793915
2825.0-2850.0, 29.5630493164
2850.0-2875.0, 27.249420166
2875.0-2900.0, 24.4216499329
2900.0-2925.0, 22.6221599579
2925.0-2950.0, 22.6221599579
2950.0-2975.0, 24.1645793915
2975.0-3000.0, 19.0231800079
