Delphes classes imported
--------------------------------------> Going to analyze 200000 events!!!!!!!!!!!
Number of events that passed full selection: 94737 +- 307.79376212
Weighted number of events that passed full selection: 16882.1334 +- 54.8488484098
Bin range, Value
500.0-525.0, 475.615814209
525.0-550.0, 476.328613281
550.0-575.0, 465.63659668
575.0-600.0, 464.56741333
600.0-625.0, 461.181610107
625.0-650.0, 440.153991699
650.0-675.0, 437.480987549
675.0-700.0, 432.847808838
700.0-725.0, 395.960388184
725.0-750.0, 392.040008545
750.0-775.0, 396.494995117
775.0-800.0, 398.277008057
800.0-825.0, 377.249389648
825.0-850.0, 362.45880127
850.0-875.0, 343.391387939
875.0-900.0, 347.846405029
900.0-925.0, 332.521209717
925.0-950.0, 305.79119873
950.0-975.0, 304.90020752
975.0-1000.0, 304.365600586
1000.0-1025.0, 292.604400635
1025.0-1050.0, 273.002410889
1050.0-1075.0, 272.467803955
1075.0-1100.0, 263.914215088
1100.0-1125.0, 258.390014648
1125.0-1150.0, 250.727401733
1150.0-1175.0, 241.817398071
1175.0-1200.0, 236.649597168
1200.0-1225.0, 229.165206909
1225.0-1250.0, 213.305404663
1250.0-1275.0, 212.057998657
1275.0-1300.0, 198.336593628
1300.0-1325.0, 212.236206055
1325.0-1350.0, 197.802001953
1350.0-1375.0, 188.357406616
1375.0-1400.0, 179.981994629
1400.0-1425.0, 177.309005737
1425.0-1450.0, 167.507995605
1450.0-1475.0, 159.132598877
1475.0-1500.0, 151.826400757
1500.0-1525.0, 149.509796143
1525.0-1550.0, 155.925003052
1550.0-1575.0, 142.025405884
1575.0-1600.0, 145.054794312
1600.0-1625.0, 134.541000366
1625.0-1650.0, 125.630996704
1650.0-1675.0, 128.482192993
1675.0-1700.0, 125.452796936
1700.0-1725.0, 119.393997192
1725.0-1750.0, 108.345596313
1750.0-1775.0, 111.018600464
1775.0-1800.0, 106.207199097
1800.0-1825.0, 105.316200256
1825.0-1850.0, 93.020401001
1850.0-1875.0, 100.861198425
1875.0-1900.0, 87.8526000977
1900.0-1925.0, 91.0602035522
1925.0-1950.0, 88.743598938
1950.0-1975.0, 81.9720001221
1975.0-2000.0, 79.2990036011
2000.0-2025.0, 77.6951980591
2025.0-2050.0, 74.3094024658
2050.0-2075.0, 75.0222015381
2075.0-2100.0, 70.0326004028
2100.0-2125.0, 74.4876022339
2125.0-2150.0, 62.726398468
2150.0-2175.0, 66.8249969482
2175.0-2200.0, 59.8751983643
2200.0-2225.0, 61.1226005554
2225.0-2250.0, 57.5586013794
2250.0-2275.0, 59.5187988281
2275.0-2300.0, 60.7662010193
2300.0-2325.0, 50.9651985168
2325.0-2350.0, 55.9547996521
2350.0-2375.0, 41.5205993652
2375.0-2400.0, 45.2627983093
2400.0-2425.0, 42.4115982056
2425.0-2450.0, 45.0845985413
2450.0-2475.0, 45.0845985413
2475.0-2500.0, 47.5793991089
2500.0-2525.0, 39.3821983337
2525.0-2550.0, 36.53099823
2550.0-2575.0, 38.1347999573
2575.0-2600.0, 34.2144012451
2600.0-2625.0, 35.6399993896
2625.0-2650.0, 33.5015983582
2650.0-2675.0, 31.8978004456
2675.0-2700.0, 33.5015983582
2700.0-2725.0, 27.4428005219
2725.0-2750.0, 30.1158008575
2750.0-2775.0, 26.01720047
2775.0-2800.0, 23.1660003662
2800.0-2825.0, 27.4428005219
2825.0-2850.0, 26.9081993103
2850.0-2875.0, 23.1660003662
2875.0-2900.0, 23.5223999023
2900.0-2925.0, 23.1660003662
2925.0-2950.0, 21.5622005463
2950.0-2975.0, 19.6019992828
2975.0-3000.0, 19.7801990509
